Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
1,"5/19/20, 12:44:04 PM",8 ft,0:00:03,1.8 mph,755 ft,264° true,N42° 34.503' W83° 11.825',84.2 °F,59
2,"5/19/20, 12:44:07 PM",7 ft,0:00:01,5 mph,755 ft,274° true,N42° 34.503' W83° 11.827',84.2 °F,62
3,"5/19/20, 12:44:08 PM",28 ft,0:00:02,10 mph,755 ft,234° true,N42° 34.503' W83° 11.829',84.2 °F,60
4,"5/19/20, 12:44:10 PM",41 ft,0:00:02,14 mph,755 ft,192° true,N42° 34.501' W83° 11.834',84.2 °F,59
5,"5/19/20, 12:44:12 PM",27 ft,0:00:01,18 mph,755 ft,171° true,N42° 34.494' W83° 11.836',84.2 °F,59
6,"5/19/20, 12:44:13 PM",32 ft,0:00:01,22 mph,755 ft,162° true,N42° 34.490' W83° 11.835',84.2 °F,61
7,"5/19/20, 12:44:14 PM",75 ft,0:00:02,26 mph,756 ft,157° true,N42° 34.485' W83° 11.833',84.2 °F,61
8,"5/19/20, 12:44:16 PM",112 ft,0:00:03,26 mph,757 ft,160° true,N42° 34.473' W83° 11.826',84.2 °F,63
9,"5/19/20, 12:44:19 PM",73 ft,0:00:02,25 mph,755 ft,172° true,N42° 34.456' W83° 11.817',84.2 °F,66
10,"5/19/20, 12:44:21 PM",199 ft,0:00:05,27 mph,753 ft,179° true,N42° 34.444' W83° 11.815',84.2 °F,65
11,"5/19/20, 12:44:26 PM",40 ft,0:00:01,28 mph,753 ft,178° true,N42° 34.412' W83° 11.814',84.2 °F,68
12,"5/19/20, 12:44:27 PM",80 ft,0:00:02,27 mph,753 ft,178° true,N42° 34.405' W83° 11.814',84.2 °F,68
13,"5/19/20, 12:44:29 PM",157 ft,0:00:04,27 mph,754 ft,177° true,N42° 34.392' W83° 11.813',84.2 °F,65
14,"5/19/20, 12:44:33 PM",111 ft,0:00:03,25 mph,759 ft,177° true,N42° 34.366' W83° 11.812',84.2 °F,67
15,"5/19/20, 12:44:36 PM",136 ft,0:00:04,23 mph,760 ft,179° true,N42° 34.348' W83° 11.811',84.2 °F,66
16,"5/19/20, 12:44:40 PM",65 ft,0:00:02,22 mph,762 ft,182° true,N42° 34.325' W83° 11.810',84.2 °F,64
17,"5/19/20, 12:44:42 PM",167 ft,0:00:06,19 mph,762 ft,184° true,N42° 34.315' W83° 11.811',84.2 °F,63
18,"5/19/20, 12:44:48 PM",24 ft,0:00:03,5 mph,763 ft,193° true,N42° 34.287' W83° 11.813',84.2 °F,63
19,"5/19/20, 12:44:51 PM",42 ft,0:00:03,10 mph,762 ft,198° true,N42° 34.283' W83° 11.814',84.2 °F,63
