Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
1,"5/19/20, 12:51:15 PM",4 ft,0:00:03,0.9 mph,756 ft,288° true,N42° 34.500' W83° 11.829',84.2 °F,69
2,"5/19/20, 12:51:18 PM",17 ft,0:00:02,6 mph,755 ft,256° true,N42° 34.500' W83° 11.830',84.2 °F,71
3,"5/19/20, 12:51:20 PM",13 ft,0:00:01,9 mph,756 ft,232° true,N42° 34.499' W83° 11.834',84.2 °F,71
4,"5/19/20, 12:51:21 PM",38 ft,0:00:02,13 mph,756 ft,199° true,N42° 34.498' W83° 11.836',84.2 °F,69
5,"5/19/20, 12:51:23 PM",58 ft,0:00:02,20 mph,757 ft,169° true,N42° 34.492' W83° 11.839',84.2 °F,70
6,"5/19/20, 12:51:25 PM",36 ft,0:00:01,24 mph,757 ft,159° true,N42° 34.483' W83° 11.836',84.2 °F,72
7,"5/19/20, 12:51:26 PM",116 ft,0:00:03,26 mph,757 ft,153° true,N42° 34.477' W83° 11.833',84.2 °F,71
8,"5/19/20, 12:51:29 PM",41 ft,0:00:01,28 mph,756 ft,167° true,N42° 34.460' W83° 11.822',84.2 °F,70
9,"5/19/20, 12:51:30 PM",42 ft,0:00:01,28 mph,756 ft,174° true,N42° 34.454' W83° 11.820',84.2 °F,72
10,"5/19/20, 12:51:31 PM",172 ft,0:00:03,39 mph,755 ft,177° true,N42° 34.447' W83° 11.819',84.2 °F,71
11,"5/19/20, 12:51:34 PM",128 ft,0:00:04,22 mph,755 ft,177° true,N42° 34.419' W83° 11.817',84.2 °F,69
12,"5/19/20, 12:51:38 PM",148 ft,0:00:04,25 mph,755 ft,175° true,N42° 34.398' W83° 11.816',84.2 °F,65
13,"5/19/20, 12:51:42 PM",110 ft,0:00:03,25 mph,757 ft,175° true,N42° 34.373' W83° 11.813',84.2 °F,63
14,"5/19/20, 12:51:45 PM",149 ft,0:00:04,25 mph,760 ft,176° true,N42° 34.355' W83° 11.810',84.2 °F,63
15,"5/19/20, 12:51:49 PM",36 ft,0:00:01,25 mph,763 ft,178° true,N42° 34.331' W83° 11.808',84.2 °F,64
16,"5/19/20, 12:51:50 PM",169 ft,0:00:05,23 mph,764 ft,183° true,N42° 34.325' W83° 11.808',84.2 °F,64
17,"5/19/20, 12:51:55 PM",51 ft,0:00:02,17 mph,764 ft,188° true,N42° 34.297' W83° 11.810',84.2 °F,63
18,"5/19/20, 12:51:57 PM",18 ft,0:00:01,12 mph,764 ft,189° true,N42° 34.289' W83° 11.811',84.2 °F,60
19,"5/19/20, 12:51:58 PM",25 ft,0:00:03,6 mph,764 ft,188° true,N42° 34.286' W83° 11.812',84.2 °F,60
20,"5/19/20, 12:52:01 PM",31 ft,0:00:02,10 mph,764 ft,195° true,N42° 34.282' W83° 11.813',84.2 °F,59
21,"5/19/20, 12:52:03 PM",24 ft,0:00:01,16 mph,764 ft,196° true,N42° 34.277' W83° 11.815',84.2 °F,62
22,"5/19/20, 12:52:04 PM",30 ft,0:00:01,20 mph,765 ft,199° true,N42° 34.274' W83° 11.816',84.2 °F,62
23,"5/19/20, 12:52:05 PM",67 ft,0:00:02,23 mph,766 ft,192° true,N42° 34.269' W83° 11.818',84.2 °F,65
24,"5/19/20, 12:52:07 PM",70 ft,0:00:02,24 mph,766 ft,183° true,N42° 34.258' W83° 11.821',84.2 °F,66
25,"5/19/20, 12:52:09 PM",95 ft,0:00:03,21 mph,767 ft,179° true,N42° 34.247' W83° 11.822',84.2 °F,65
26,"5/19/20, 12:52:12 PM",44 ft,0:00:02,15 mph,767 ft,173° true,N42° 34.231' W83° 11.822',84.2 °F,62
27,"5/19/20, 12:52:14 PM",18 ft,0:00:01,12 mph,767 ft,149° true,N42° 34.224' W83° 11.821',84.2 °F,62
28,"5/19/20, 12:52:15 PM",18 ft,0:00:01,12 mph,766 ft,102° true,N42° 34.222' W83° 11.819',84.2 °F,61
29,"5/19/20, 12:52:16 PM",23 ft,0:00:01,16 mph,766 ft,96° true,N42° 34.221' W83° 11.815',84.2 °F,61
30,"5/19/20, 12:52:17 PM",31 ft,0:00:01,21 mph,766 ft,81° true,N42° 34.221' W83° 11.809',84.2 °F,61
31,"5/19/20, 12:52:18 PM",67 ft,0:00:02,23 mph,766 ft,82° true,N42° 34.221' W83° 11.803',84.2 °F,61
32,"5/19/20, 12:52:20 PM",175 ft,0:00:05,24 mph,766 ft,84° true,N42° 34.223' W83° 11.788',84.2 °F,61
33,"5/19/20, 12:52:25 PM",37 ft,0:00:01,25 mph,767 ft,84° true,N42° 34.226' W83° 11.749',84.2 °F,61
34,"5/19/20, 12:52:26 PM",113 ft,0:00:03,26 mph,767 ft,87° true,N42° 34.227' W83° 11.741',84.2 °F,61
35,"5/19/20, 12:52:29 PM",104 ft,0:00:03,24 mph,766 ft,87° true,N42° 34.228' W83° 11.716',84.2 °F,64
36,"5/19/20, 12:52:32 PM",81 ft,0:00:03,18 mph,766 ft,85° true,N42° 34.228' W83° 11.693',84.2 °F,67
37,"5/19/20, 12:52:35 PM",22 ft,0:00:01,15 mph,765 ft,109° true,N42° 34.230' W83° 11.675',84.2 °F,65
38,"5/19/20, 12:52:36 PM",21 ft,0:00:01,14 mph,764 ft,138° true,N42° 34.228' W83° 11.670',84.2 °F,65
39,"5/19/20, 12:52:37 PM",21 ft,0:00:01,14 mph,764 ft,163° true,N42° 34.226' W83° 11.667',84.2 °F,65
40,"5/19/20, 12:52:38 PM",23 ft,0:00:01,16 mph,763 ft,185° true,N42° 34.223' W83° 11.666',84.2 °F,65
41,"5/19/20, 12:52:39 PM",57 ft,0:00:02,19 mph,763 ft,183° true,N42° 34.219' W83° 11.666',84.2 °F,65
42,"5/19/20, 12:52:41 PM",108 ft,0:00:03,25 mph,762 ft,180° true,N42° 34.209' W83° 11.667',84.2 °F,66
43,"5/19/20, 12:52:44 PM",36 ft,0:00:01,25 mph,760 ft,179° true,N42° 34.192' W83° 11.667',84.2 °F,69
44,"5/19/20, 12:52:45 PM",37 ft,0:00:01,25 mph,759 ft,175° true,N42° 34.186' W83° 11.667',84.2 °F,70
45,"5/19/20, 12:52:46 PM",97 ft,0:00:03,22 mph,759 ft,177° true,N42° 34.180' W83° 11.666',84.2 °F,70
46,"5/19/20, 12:52:49 PM",29 ft,0:00:01,20 mph,756 ft,181° true,N42° 34.164' W83° 11.665',84.2 °F,73
47,"5/19/20, 12:52:50 PM",31 ft,0:00:01,21 mph,756 ft,186° true,N42° 34.159' W83° 11.665',84.2 °F,74
48,"5/19/20, 12:52:51 PM",54 ft,0:00:02,18 mph,755 ft,184° true,N42° 34.154' W83° 11.666',84.2 °F,74
49,"5/19/20, 12:52:53 PM",45 ft,0:00:02,15 mph,755 ft,157° true,N42° 34.145' W83° 11.667',84.2 °F,74
50,"5/19/20, 12:52:55 PM",71 ft,0:00:02,24 mph,755 ft,99° true,N42° 34.138' W83° 11.663',84.2 °F,74
51,"5/19/20, 12:52:57 PM",25 ft,0:00:02,8 mph,755 ft,74° true,N42° 34.136' W83° 11.647',84.2 °F,74
52,"5/19/20, 12:52:59 PM",83 ft,0:00:03,19 mph,755 ft,82° true,N42° 34.137' W83° 11.642',84.2 °F,74
53,"5/19/20, 12:53:02 PM",134 ft,0:00:05,18 mph,755 ft,87° true,N42° 34.139' W83° 11.624',84.2 °F,74
54,"5/19/20, 12:53:07 PM",18 ft,0:00:01,12 mph,753 ft,65° true,N42° 34.140' W83° 11.594',84.2 °F,75
55,"5/19/20, 12:53:08 PM",16 ft,0:00:01,11 mph,751 ft,52° true,N42° 34.142' W83° 11.590',84.2 °F,75
56,"5/19/20, 12:53:09 PM",44 ft,0:00:02,15 mph,751 ft,14° true,N42° 34.143' W83° 11.587',84.2 °F,74
57,"5/19/20, 12:53:11 PM",95 ft,0:00:03,22 mph,751 ft,358° true,N42° 34.150' W83° 11.585',84.2 °F,75
58,"5/19/20, 12:53:14 PM",113 ft,0:00:03,26 mph,752 ft,356° true,N42° 34.166' W83° 11.585',84.2 °F,74
59,"5/19/20, 12:53:17 PM",41 ft,0:00:01,28 mph,753 ft,357° true,N42° 34.184' W83° 11.587',84.2 °F,67
60,"5/19/20, 12:53:18 PM",40 ft,0:00:01,28 mph,754 ft,358° true,N42° 34.191' W83° 11.588',84.2 °F,67
61,"5/19/20, 12:53:19 PM",39 ft,0:00:01,27 mph,755 ft,358° true,N42° 34.198' W83° 11.588',84.2 °F,67
62,"5/19/20, 12:53:20 PM",38 ft,0:00:01,26 mph,755 ft,358° true,N42° 34.204' W83° 11.588',84.2 °F,63
63,"5/19/20, 12:53:21 PM",183 ft,0:00:05,25 mph,756 ft,358° true,N42° 34.210' W83° 11.589',84.2 °F,62
64,"5/19/20, 12:53:26 PM",34 ft,0:00:01,23 mph,759 ft,359° true,N42° 34.241' W83° 11.590',84.2 °F,61
65,"5/19/20, 12:53:27 PM",34 ft,0:00:01,23 mph,759 ft,359° true,N42° 34.246' W83° 11.590',84.2 °F,60
66,"5/19/20, 12:53:28 PM",163 ft,0:00:05,22 mph,759 ft,356° true,N42° 34.252' W83° 11.590',84.2 °F,61
67,"5/19/20, 12:53:33 PM",51 ft,0:00:02,17 mph,761 ft,343° true,N42° 34.278' W83° 11.593',84.2 °F,64
