Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
1,"6/25/20, 1:14:29 PM",30 ft,0:00:03,7 mph,794 ft,266° true,N42° 34.504' W83° 11.820',91.4 °F,79
2,"6/25/20, 1:14:32 PM",40 ft,0:00:03,9 mph,792 ft,240° true,N42° 34.503' W83° 11.826',91.4 °F,77
3,"6/25/20, 1:14:35 PM",43 ft,0:00:02,15 mph,791 ft,203° true,N42° 34.500' W83° 11.834',91.4 °F,77
4,"6/25/20, 1:14:37 PM",25 ft,0:00:01,17 mph,791 ft,168° true,N42° 34.493' W83° 11.837',91.4 °F,74
5,"6/25/20, 1:14:38 PM",39 ft,0:00:01,26 mph,791 ft,153° true,N42° 34.489' W83° 11.836',91.4 °F,73
6,"6/25/20, 1:14:39 PM",74 ft,0:00:02,25 mph,791 ft,152° true,N42° 34.484' W83° 11.832',91.4 °F,72
7,"6/25/20, 1:14:41 PM",75 ft,0:00:02,26 mph,791 ft,156° true,N42° 34.473' W83° 11.825',91.4 °F,72
8,"6/25/20, 1:14:43 PM",72 ft,0:00:02,24 mph,791 ft,170° true,N42° 34.462' W83° 11.818',91.4 °F,72
9,"6/25/20, 1:14:45 PM",151 ft,0:00:04,26 mph,791 ft,176° true,N42° 34.450' W83° 11.815',91.4 °F,72
10,"6/25/20, 1:14:49 PM",115 ft,0:00:03,26 mph,791 ft,178° true,N42° 34.425' W83° 11.813',89.6 °F,76
11,"6/25/20, 1:14:52 PM",76 ft,0:00:02,26 mph,791 ft,177° true,N42° 34.407' W83° 11.812',89.6 °F,80
12,"6/25/20, 1:14:54 PM",184 ft,0:00:05,25 mph,793 ft,177° true,N42° 34.394' W83° 11.811',89.6 °F,84
13,"6/25/20, 1:14:59 PM",71 ft,0:00:02,24 mph,797 ft,179° true,N42° 34.364' W83° 11.809',89.6 °F,81
14,"6/25/20, 1:15:01 PM",108 ft,0:00:03,25 mph,798 ft,178° true,N42° 34.352' W83° 11.808',89.6 °F,80
15,"6/25/20, 1:15:04 PM",70 ft,0:00:02,24 mph,800 ft,178° true,N42° 34.335' W83° 11.807',89.6 °F,73
16,"6/25/20, 1:15:06 PM",68 ft,0:00:02,23 mph,801 ft,177° true,N42° 34.323' W83° 11.807',87.8 °F,70
17,"6/25/20, 1:15:08 PM",93 ft,0:00:03,21 mph,803 ft,179° true,N42° 34.312' W83° 11.806',87.8 °F,67
18,"6/25/20, 1:15:11 PM",22 ft,0:00:01,15 mph,804 ft,187° true,N42° 34.297' W83° 11.806',87.8 °F,69
19,"6/25/20, 1:15:12 PM",30 ft,0:00:03,7 mph,804 ft,196° true,N42° 34.293' W83° 11.807',87.8 °F,69
20,"6/25/20, 1:15:15 PM",47 ft,0:00:04,8 mph,804 ft,200° true,N42° 34.288' W83° 11.809',87.8 °F,71
21,"6/25/20, 1:15:19 PM",108 ft,0:00:04,18 mph,804 ft,193° true,N42° 34.281' W83° 11.812',87.8 °F,74
22,"6/25/20, 1:15:23 PM",149 ft,0:00:05,20 mph,806 ft,182° true,N42° 34.264' W83° 11.818',87.8 °F,76
23,"6/25/20, 1:15:28 PM",44 ft,0:00:03,10 mph,806 ft,180° true,N42° 34.239' W83° 11.819',87.8 °F,75
24,"6/25/20, 1:15:31 PM",36 ft,0:00:04,6 mph,806 ft,163° true,N42° 34.232' W83° 11.819',87.8 °F,74
