Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
57,"6/18/20, 1:20:17 PM",60 ft,0:00:02,20 mph,761 ft,137° true,N42° 34.326' W83° 11.576',89.6 °F,77
58,"6/18/20, 1:20:19 PM",19 ft,0:00:01,13 mph,761 ft,127° true,N42° 34.319' W83° 11.567',89.6 °F,74
59,"6/18/20, 1:20:20 PM",28 ft,0:00:02,9 mph,760 ft,155° true,N42° 34.317' W83° 11.564',89.6 °F,74
60,"6/18/20, 1:20:22 PM",13 ft,0:00:01,9 mph,760 ft,227° true,N42° 34.313' W83° 11.561',89.6 °F,73
61,"6/18/20, 1:20:23 PM",16 ft,0:00:01,11 mph,759 ft,223° true,N42° 34.312' W83° 11.563',89.6 °F,75
62,"6/18/20, 1:20:24 PM",70 ft,0:00:03,16 mph,759 ft,229° true,N42° 34.310' W83° 11.566',89.6 °F,76
63,"6/18/20, 1:20:27 PM",61 ft,0:00:02,21 mph,759 ft,244° true,N42° 34.302' W83° 11.577',89.6 °F,77
64,"6/18/20, 1:20:29 PM",65 ft,0:00:02,22 mph,759 ft,242° true,N42° 34.298' W83° 11.590',89.6 °F,78
65,"6/18/20, 1:20:31 PM",32 ft,0:00:01,22 mph,758 ft,249° true,N42° 34.293' W83° 11.602',89.6 °F,77
66,"6/18/20, 1:20:32 PM",32 ft,0:00:01,22 mph,759 ft,257° true,N42° 34.291' W83° 11.609',89.6 °F,77
67,"6/18/20, 1:20:33 PM",65 ft,0:00:02,22 mph,759 ft,260° true,N42° 34.290' W83° 11.616',89.6 °F,73
68,"6/18/20, 1:20:35 PM",60 ft,0:00:02,21 mph,759 ft,264° true,N42° 34.288' W83° 11.631',89.6 °F,72
69,"6/18/20, 1:20:37 PM",81 ft,0:00:03,18 mph,760 ft,272° true,N42° 34.287' W83° 11.644',89.6 °F,69
70,"6/18/20, 1:20:40 PM",40 ft,0:00:02,14 mph,762 ft,308° true,N42° 34.287' W83° 11.662',89.6 °F,67
71,"6/18/20, 1:20:42 PM",44 ft,0:00:02,15 mph,762 ft,350° true,N42° 34.292' W83° 11.669',89.6 °F,68
72,"6/18/20, 1:20:44 PM",27 ft,0:00:01,18 mph,762 ft,357° true,N42° 34.299' W83° 11.671',89.6 °F,68
