Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
1,"6/18/20, 1:11:16 PM",28 ft,0:00:03,6 mph,755 ft,265° true,N42° 34.506' W83° 11.825',87.8 °F,71
2,"6/18/20, 1:11:19 PM",22 ft,0:00:02,8 mph,753 ft,249° true,N42° 34.506' W83° 11.831',87.8 °F,71
3,"6/18/20, 1:11:21 PM",17 ft,0:00:01,12 mph,755 ft,213° true,N42° 34.504' W83° 11.836',87.8 °F,70
4,"6/18/20, 1:11:22 PM",21 ft,0:00:01,14 mph,754 ft,188° true,N42° 34.502' W83° 11.838',87.8 °F,70
5,"6/18/20, 1:11:23 PM",64 ft,0:00:02,22 mph,754 ft,178° true,N42° 34.499' W83° 11.839',87.8 °F,70
6,"6/18/20, 1:11:25 PM",111 ft,0:00:03,25 mph,754 ft,154° true,N42° 34.488' W83° 11.838',87.8 °F,70
7,"6/18/20, 1:11:28 PM",41 ft,0:00:01,28 mph,753 ft,153° true,N42° 34.472' W83° 11.827',87.8 °F,68
8,"6/18/20, 1:11:29 PM",82 ft,0:00:02,28 mph,753 ft,165° true,N42° 34.466' W83° 11.823',87.8 °F,69
9,"6/18/20, 1:11:31 PM",87 ft,0:00:02,30 mph,753 ft,175° true,N42° 34.453' W83° 11.818',87.8 °F,69
10,"6/18/20, 1:11:33 PM",136 ft,0:00:03,31 mph,751 ft,177° true,N42° 34.438' W83° 11.816',87.8 °F,71
11,"6/18/20, 1:11:36 PM",165 ft,0:00:04,28 mph,750 ft,177° true,N42° 34.416' W83° 11.815',87.8 °F,71
12,"6/18/20, 1:11:40 PM",82 ft,0:00:02,28 mph,751 ft,176° true,N42° 34.389' W83° 11.812',87.8 °F,72
13,"6/18/20, 1:11:42 PM",39 ft,0:00:01,27 mph,753 ft,178° true,N42° 34.376' W83° 11.811',87.8 °F,75
14,"6/18/20, 1:11:43 PM",41 ft,0:00:01,28 mph,753 ft,178° true,N42° 34.369' W83° 11.811',87.8 °F,76
15,"6/18/20, 1:11:44 PM",119 ft,0:00:03,27 mph,755 ft,178° true,N42° 34.363' W83° 11.810',87.8 °F,77
16,"6/18/20, 1:11:47 PM",116 ft,0:00:03,26 mph,757 ft,177° true,N42° 34.343' W83° 11.810',89.6 °F,80
17,"6/18/20, 1:11:50 PM",37 ft,0:00:01,25 mph,759 ft,177° true,N42° 34.324' W83° 11.808',89.6 °F,82
18,"6/18/20, 1:11:51 PM",133 ft,0:00:04,23 mph,759 ft,178° true,N42° 34.318' W83° 11.807',89.6 °F,82
19,"6/18/20, 1:11:55 PM",25 ft,0:00:01,17 mph,760 ft,185° true,N42° 34.296' W83° 11.807',89.6 °F,78
20,"6/18/20, 1:11:56 PM",37 ft,0:00:03,8 mph,760 ft,190° true,N42° 34.292' W83° 11.807',89.6 °F,77
21,"6/18/20, 1:11:59 PM",35 ft,0:00:03,8 mph,759 ft,200° true,N42° 34.286' W83° 11.809',89.6 °F,73
22,"6/18/20, 1:12:02 PM",22 ft,0:00:01,15 mph,759 ft,198° true,N42° 34.280' W83° 11.811',89.6 °F,68
23,"6/18/20, 1:12:03 PM",100 ft,0:00:03,23 mph,760 ft,195° true,N42° 34.277' W83° 11.813',89.6 °F,67
24,"6/18/20, 1:12:06 PM",159 ft,0:00:05,22 mph,761 ft,180° true,N42° 34.261' W83° 11.819',89.6 °F,65
25,"6/18/20, 1:12:11 PM",46 ft,0:00:02,16 mph,762 ft,176° true,N42° 34.235' W83° 11.819',89.6 °F,65
26,"6/18/20, 1:12:13 PM",19 ft,0:00:01,13 mph,762 ft,164° true,N42° 34.227' W83° 11.818',89.6 °F,65
27,"6/18/20, 1:12:14 PM",18 ft,0:00:01,12 mph,762 ft,138° true,N42° 34.225' W83° 11.817',89.6 °F,67
28,"6/18/20, 1:12:15 PM",21 ft,0:00:01,14 mph,762 ft,103° true,N42° 34.222' W83° 11.814',89.6 °F,66
29,"6/18/20, 1:12:16 PM",26 ft,0:00:01,17 mph,762 ft,91° true,N42° 34.222' W83° 11.810',89.6 °F,66
30,"6/18/20, 1:12:17 PM",64 ft,0:00:02,22 mph,762 ft,82° true,N42° 34.222' W83° 11.804',89.6 °F,66
31,"6/18/20, 1:12:19 PM",35 ft,0:00:01,24 mph,762 ft,84° true,N42° 34.223' W83° 11.790',89.6 °F,63
32,"6/18/20, 1:12:20 PM",73 ft,0:00:02,25 mph,762 ft,85° true,N42° 34.224' W83° 11.782',89.6 °F,69
33,"6/18/20, 1:12:22 PM",76 ft,0:00:02,26 mph,761 ft,86° true,N42° 34.225' W83° 11.766',89.6 °F,72
34,"6/18/20, 1:12:24 PM",169 ft,0:00:04,29 mph,760 ft,80° true,N42° 34.225' W83° 11.749',89.6 °F,74
35,"6/18/20, 1:12:28 PM",71 ft,0:00:02,24 mph,759 ft,87° true,N42° 34.230' W83° 11.712',89.6 °F,74
36,"6/18/20, 1:12:30 PM",118 ft,0:00:04,20 mph,759 ft,91° true,N42° 34.231' W83° 11.696',89.6 °F,73
37,"6/18/20, 1:12:34 PM",20 ft,0:00:01,14 mph,759 ft,102° true,N42° 34.230' W83° 11.670',89.6 °F,71
38,"6/18/20, 1:12:35 PM",34 ft,0:00:02,12 mph,759 ft,158° true,N42° 34.230' W83° 11.665',89.6 °F,71
39,"6/18/20, 1:12:37 PM",50 ft,0:00:02,17 mph,759 ft,181° true,N42° 34.225' W83° 11.662',89.6 °F,71
40,"6/18/20, 1:12:39 PM",68 ft,0:00:02,23 mph,758 ft,178° true,N42° 34.216' W83° 11.663',89.6 °F,71
41,"6/18/20, 1:12:41 PM",156 ft,0:00:04,27 mph,758 ft,178° true,N42° 34.205' W83° 11.662',89.6 °F,71
42,"6/18/20, 1:12:45 PM",68 ft,0:00:02,23 mph,755 ft,182° true,N42° 34.180' W83° 11.661',89.6 °F,71
43,"6/18/20, 1:12:47 PM",88 ft,0:00:03,20 mph,754 ft,184° true,N42° 34.168' W83° 11.662',89.6 °F,71
44,"6/18/20, 1:12:50 PM",26 ft,0:00:01,18 mph,753 ft,177° true,N42° 34.154' W83° 11.663',89.6 °F,74
45,"6/18/20, 1:12:51 PM",48 ft,0:00:02,16 mph,752 ft,150° true,N42° 34.150' W83° 11.663',89.6 °F,75
46,"6/18/20, 1:12:53 PM",53 ft,0:00:02,18 mph,752 ft,98° true,N42° 34.143' W83° 11.657',89.6 °F,74
47,"6/18/20, 1:12:55 PM",30 ft,0:00:01,20 mph,751 ft,90° true,N42° 34.142' W83° 11.646',89.6 °F,74
48,"6/18/20, 1:12:56 PM",109 ft,0:00:03,25 mph,751 ft,85° true,N42° 34.142' W83° 11.639',89.6 °F,74
49,"6/18/20, 1:12:59 PM",103 ft,0:00:04,17 mph,751 ft,93° true,N42° 34.143' W83° 11.615',89.6 °F,74
50,"6/18/20, 1:13:03 PM",32 ft,0:00:02,11 mph,749 ft,66° true,N42° 34.142' W83° 11.592',89.6 °F,74
51,"6/18/20, 1:13:05 PM",17 ft,0:00:01,11 mph,749 ft,31° true,N42° 34.144' W83° 11.585',89.6 °F,74
52,"6/18/20, 1:13:06 PM",25 ft,0:00:01,17 mph,749 ft,2° true,N42° 34.147' W83° 11.583',89.6 °F,71
53,"6/18/20, 1:13:07 PM",27 ft,0:00:01,18 mph,750 ft,2° true,N42° 34.151' W83° 11.583',89.6 °F,72
54,"6/18/20, 1:13:08 PM",131 ft,0:00:04,22 mph,750 ft,358° true,N42° 34.155' W83° 11.583',89.6 °F,72
