Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
87,"5/13/20, 12:52:23 PM",168 ft,0:00:04,29 mph,760 ft,267° true,N42° 34.502' W83° 11.755',93.2 °F,66
88,"5/13/20, 12:52:27 PM",75 ft,0:00:02,26 mph,759 ft,266° true,N42° 34.501' W83° 11.792',93.2 °F,65
89,"5/13/20, 12:52:29 PM",82 ft,0:00:03,19 mph,758 ft,267° true,N42° 34.500' W83° 11.809',93.2 °F,64
90,"5/13/20, 12:52:32 PM",26 ft,0:00:02,9 mph,757 ft,255° true,N42° 34.499' W83° 11.828',93.2 °F,62
91,"5/13/20, 12:52:34 PM",6 ft,0:00:01,4.3 mph,756 ft,257° true,N42° 34.498' W83° 11.833',93.2 °F,62
92,"5/13/20, 12:52:35 PM",22 ft,0:00:03,5 mph,755 ft,252° true,N42° 34.498' W83° 11.835',93.2 °F,62
93,"5/13/20, 12:52:38 PM",15 ft,0:00:01,10 mph,756 ft,208° true,N42° 34.497' W83° 11.839',93.2 °F,62
94,"5/13/20, 12:52:39 PM",20 ft,0:00:01,14 mph,757 ft,190° true,N42° 34.495' W83° 11.841',93.2 °F,61
95,"5/13/20, 12:52:40 PM",53 ft,0:00:02,18 mph,757 ft,174° true,N42° 34.491' W83° 11.842',93.2 °F,61
96,"5/13/20, 12:52:42 PM",69 ft,0:00:02,23 mph,757 ft,154° true,N42° 34.483' W83° 11.840',93.2 °F,61
97,"5/13/20, 12:52:44 PM",37 ft,0:00:01,26 mph,757 ft,150° true,N42° 34.472' W83° 11.834',93.2 °F,59
98,"5/13/20, 12:52:45 PM",39 ft,0:00:01,26 mph,756 ft,154° true,N42° 34.467' W83° 11.830',93.2 °F,61
99,"5/13/20, 12:52:46 PM",40 ft,0:00:01,27 mph,756 ft,161° true,N42° 34.461' W83° 11.826',93.2 °F,64
100,"5/13/20, 12:52:47 PM",39 ft,0:00:01,27 mph,755 ft,167° true,N42° 34.455' W83° 11.823',93.2 °F,67
101,"5/13/20, 12:52:48 PM",164 ft,0:00:04,28 mph,755 ft,176° true,N42° 34.449' W83° 11.821',93.2 °F,67
102,"5/13/20, 12:52:52 PM",42 ft,0:00:01,29 mph,753 ft,176° true,N42° 34.422' W83° 11.818',93.2 °F,66
103,"5/13/20, 12:52:53 PM",198 ft,0:00:05,27 mph,753 ft,177° true,N42° 34.415' W83° 11.818',93.2 °F,66
104,"5/13/20, 12:52:58 PM",75 ft,0:00:02,26 mph,755 ft,178° true,N42° 34.383' W83° 11.815',93.2 °F,67
105,"5/13/20, 12:53:00 PM",75 ft,0:00:02,26 mph,756 ft,177° true,N42° 34.370' W83° 11.815',93.2 °F,63
106,"5/13/20, 12:53:02 PM",152 ft,0:00:04,26 mph,758 ft,178° true,N42° 34.358' W83° 11.814',93.2 °F,60
107,"5/13/20, 12:53:06 PM",114 ft,0:00:03,26 mph,760 ft,178° true,N42° 34.333' W83° 11.812',95.0 °F,60
108,"5/13/20, 12:53:09 PM",36 ft,0:00:01,25 mph,763 ft,178° true,N42° 34.314' W83° 11.811',95.0 °F,62
